onset	duration	event_type	trial_type
3.768	n/a	S  8	stimulus
5.044	n/a	S  1	response
5.801	n/a	S  8	stimulus
6.732	n/a	S  1	response
7.935	n/a	S  8	stimulus
8.476	n/a	S  2	response
9.868	n/a	S  8	stimulus
10.468	n/a	S  2	response
11.901	n/a	S 11	n/a
13.634	n/a	S 11	n/a
14.568	n/a	S  6	stimulus
15.276	n/a	S  3	response
16.318	n/a	S  6	stimulus
17.068	n/a	S  3	response
18.368	n/a	S  6	stimulus
18.972	n/a	S  3	response
20.301	n/a	S  6	stimulus
21.284	n/a	S  3	response
22.334	n/a	S 11	n/a
24.367	n/a	S  7	stimulus
24.948	n/a	S  1	response
26.201	n/a	S  7	stimulus
26.78	n/a	S  2	response
28.134	n/a	S  7	stimulus
28.724	n/a	S  3	response
29.967	n/a	S 11	n/a
31.817	n/a	S  8	stimulus
32.356	n/a	S  3	response
34.05	n/a	S  8	stimulus
34.812	n/a	S  3	response
36.3	n/a	S  8	stimulus
36.924	n/a	S  1	response
38.233	n/a	S  8	stimulus
38.739	n/a	S  1	response
40.367	n/a	S 11	n/a
42.3	n/a	S  6	stimulus
42.963	n/a	S  1	response
44.25	n/a	S  6	stimulus
44.883	n/a	S  1	response
46.1	n/a	S  6	stimulus
46.851	n/a	S  1	response
48.133	n/a	S 11	n/a
50.166	n/a	S  7	stimulus
50.595	n/a	S  1	response
52.099	n/a	S  7	stimulus
52.627	n/a	S  2	response
53.833	n/a	S  7	stimulus
54.339	n/a	S  3	response
55.866	n/a	S 11	n/a
57.899	n/a	S  5	stimulus
58.667	n/a	S  1	response
59.832	n/a	S  5	stimulus
60.299	n/a	S  1	response
61.866	n/a	S  5	stimulus
62.643	n/a	S  2	response
63.799	n/a	S 11	n/a
66.032	n/a	S  8	stimulus
66.971	n/a	S  2	response
68.065	n/a	S  8	stimulus
68.523	n/a	S  2	response
70.099	n/a	S  8	stimulus
70.763	n/a	S  3	response
71.849	n/a	S 11	n/a
73.599	n/a	S  7	stimulus
74.099	n/a	S  1	response
75.632	n/a	S  7	stimulus
76.139	n/a	S  2	response
77.882	n/a	S  7	stimulus
78.411	n/a	S  3	response
79.832	n/a	S  7	stimulus
80.379	n/a	S  1	response
81.765	n/a	S 11	n/a
83.598	n/a	S 10	n/a
93.614	n/a	S  5	stimulus
94.57	n/a	S  2	response
95.648	n/a	S  5	stimulus
96.362	n/a	S  3	response
97.598	n/a	S  5	stimulus
98.362	n/a	S  3	response
99.631	n/a	S 11	n/a
101.581	n/a	S  7	stimulus
102.346	n/a	S  2	response
103.314	n/a	S  7	stimulus
103.834	n/a	S  3	response
105.347	n/a	S  7	stimulus
105.826	n/a	S  1	response
107.58	n/a	S  7	stimulus
108.026	n/a	S  2	response
109.614	n/a	S 11	n/a
111.547	n/a	S  5	stimulus
112.098	n/a	S  1	response
113.38	n/a	S  5	stimulus
113.874	n/a	S  1	response
115.413	n/a	S  5	stimulus
116.202	n/a	S  2	response
117.563	n/a	S 11	n/a
119.597	n/a	S  7	stimulus
120.37	n/a	S  3	response
121.63	n/a	S  7	stimulus
