onset	duration	event_type	trial_type
20.874	n/a	S  8	stimulus
21.468	n/a	S  1	response
22.908	n/a	S  8	stimulus
23.332	n/a	S  1	response
25.041	n/a	S  8	stimulus
25.476	n/a	S  2	response
27.074	n/a	S 11	n/a
29.307	n/a	S 11	n/a
30.241	n/a	S  6	stimulus
30.884	n/a	S  3	response
31.974	n/a	S  6	stimulus
32.724	n/a	S  3	response
33.807	n/a	S  6	stimulus
34.356	n/a	S  3	response
35.657	n/a	S  6	stimulus
36.62	n/a	S  3	response
37.79	n/a	S 11	n/a
39.724	n/a	S  8	stimulus
40.276	n/a	S  2	response
41.457	n/a	S  8	stimulus
41.932	n/a	S  3	response
43.69	n/a	S  8	stimulus
44.172	n/a	S  3	response
45.723	n/a	S 11	n/a
47.457	n/a	S 11	n/a
48.39	n/a	S  5	stimulus
48.899	n/a	S  1	response
50.24	n/a	S  5	stimulus
50.779	n/a	S  1	response
52.173	n/a	S  5	stimulus
52.739	n/a	S  2	response
54.006	n/a	S  5	stimulus
54.651	n/a	S  2	response
55.94	n/a	S 11	n/a
57.773	n/a	S  7	stimulus
58.115	n/a	S  1	response
59.706	n/a	S  7	stimulus
60.027	n/a	S  2	response
61.639	n/a	S  7	stimulus
61.987	n/a	S  3	response
63.673	n/a	S  7	stimulus
64.059	n/a	S  1	response
65.606	n/a	S 11	n/a
67.539	n/a	S 11	n/a
68.489	n/a	S  6	stimulus
69.307	n/a	S  2	response
69.459	n/a	S  1	response
70.722	n/a	S  6	stimulus
71.331	n/a	S  1	response
72.756	n/a	S  6	stimulus
73.515	n/a	S  1	response
74.805	n/a	S  6	stimulus
75.555	n/a	S  1	response
76.655	n/a	S 11	n/a
78.589	n/a	S  5	stimulus
79.403	n/a	S  3	response
80.639	n/a	S  5	stimulus
81.547	n/a	S  3	response
82.588	n/a	S  5	stimulus
83.003	n/a	S  1	response
84.522	n/a	S 11	n/a
86.555	n/a	S  6	stimulus
87.323	n/a	S  2	response
88.288	n/a	S  6	stimulus
89.131	n/a	S  2	response
90.422	n/a	S  6	stimulus
91.379	n/a	S  2	response
92.455	n/a	S 11	n/a
94.705	n/a	S  8	stimulus
95.21	n/a	S  1	response
96.638	n/a	S  8	stimulus
96.914	n/a	S  2	response
98.571	n/a	S  8	stimulus
99.074	n/a	S  2	response
100.604	n/a	S  8	stimulus
101.138	n/a	S  2	response
102.538	n/a	S 11	n/a
104.371	n/a	S 10	n/a
114.387	n/a	S  8	stimulus
115.026	n/a	S  3	response
116.32	n/a	S  8	stimulus
116.802	n/a	S  3	response
118.254	n/a	S  8	stimulus
118.722	n/a	S  1	response
120.187	n/a	S  8	stimulus
120.65	n/a	S  1	response
122.02	n/a	S 11	n/a
124.053	n/a	S 11	n/a
124.987	n/a	S  7	stimulus
125.386	n/a	S  2	response
127.22	n/a	S  7	stimulus
127.586	n/a	S  3	response
128.953	n/a	S  7	stimulus
129.322	n/a	S  1	response
130.987	n/a	S  7	stimulus
131.49	n/a	S  2	response
133.22	n/a	S 11	n/a
135.17	n/a	S  6	stimulus
136.01	n/a	S  2	response
136.903	n/a	S  6	stimulus
137.578	n/a	S  3	response
138.636	n/a	S  6	stimulus
139.234	n/a	S  3	response
140.369	n/a	S  6	stimulus
140.922	n/a	S  3	response
142.203	n/a	S 11	n/a
144.136	n/a	S  8	stimulus
144.601	n/a	S  2	response
146.369	n/a	S  8	stimulus
146.905	n/a	S  2	response
148.402	n/a	S  8	stimulus
148.913	n/a	S  3	response
150.536	n/a	S 11	n/a
152.669	n/a	S  6	stimulus
153.481	n/a	S  3	response
154.402	n/a	S  6	stimulus
155.121	n/a	S  1	response
156.452	n/a	S  6	stimulus
157.225	n/a	S  1	response
158.385	n/a	S 11	n/a
160.319	n/a	S  7	stimulus
160.777	n/a	S  3	response
162.552	n/a	S  7	stimulus
163.001	n/a	S  1	response
164.685	n/a	S  7	stimulus
165.073	n/a	S  2	response
166.718	n/a	S 11	n/a
168.768	n/a	S  6	stimulus
169.409	n/a	S  1	response
170.702	n/a	S  6	stimulus
171.353	n/a	S  1	response
172.635	n/a	S  6	stimulus
173.257	n/a	S  2	response
174.868	n/a	S 11	n/a
176.801	n/a	S  5	stimulus
177.297	n/a	S  1	response
178.635	n/a	S  5	stimulus
179.305	n/a	S  2	response
180.668	n/a	S  5	stimulus
181.385	n/a	S  2	response
182.401	n/a	S 11	n/a
184.534	n/a	S  6	stimulus
185.289	n/a	S  2	response
186.568	n/a	S  6	stimulus
187.193	n/a	S  2	response
188.501	n/a	S  6	stimulus
189.185	n/a	S  2	response
190.234	n/a	S  6	stimulus
190.945	n/a	S  3	response
191.04	n/a	S  3	response
192.467	n/a	S 11	n/a
194.501	n/a	S  7	stimulus
195.104	n/a	S  3	response
195.208	n/a	S  3	response
196.734	n/a	S  7	stimulus
197.264	n/a	S  1	response
198.867	n/a	S  7	stimulus
199.288	n/a	S  2	response
200.9	n/a	S 11	n/a
202.834	n/a	S 10	n/a
212.85	n/a	S  5	stimulus
213.712	n/a	S  3	response
215.083	n/a	S  5	stimulus
215.664	n/a	S  3	response
217.333	n/a	S  5	stimulus
217.768	n/a	S  1	response
219.266	n/a	S 11	n/a
221.3	n/a	S  7	stimulus
221.824	n/a	S  3	response
223.533	n/a	S  7	stimulus
223.912	n/a	S  1	response
225.466	n/a	S  7	stimulus
225.856	n/a	S  2	response
227.499	n/a	S 11	n/a
229.733	n/a	S  6	stimulus
230.32	n/a	S  2	response
231.466	n/a	S  6	stimulus
232.152	n/a	S  3	response
233.199	n/a	S  6	stimulus
233.968	n/a	S  3	response
235.249	n/a	S  6	stimulus
235.968	n/a	S  1	response
237.282	n/a	S 11	n/a
239.115	n/a	S 11	n/a
240.049	n/a	S  5	stimulus
240.6	n/a	S  1	response
242.082	n/a	S  5	stimulus
242.575	n/a	S  2	response
244.132	n/a	S  5	stimulus
244.631	n/a	S  3	response
246.382	n/a	S 11	n/a
248.215	n/a	S  6	stimulus
249.063	n/a	S  2	response
250.248	n/a	S  6	stimulus
250.879	n/a	S  1	response
252.082	n/a	S  6	stimulus
252.703	n/a	S  1	response
254.015	n/a	S 11	n/a
255.965	n/a	S 11	n/a
256.898	n/a	S  5	stimulus
257.647	n/a	S  3	response
258.831	n/a	S  5	stimulus
259.535	n/a	S  3	response
260.865	n/a	S  5	stimulus
261.439	n/a	S  1	response
262.898	n/a	S  5	stimulus
263.367	n/a	S  1	response
264.848	n/a	S 11	n/a
266.981	n/a	S  8	stimulus
267.527	n/a	S  3	response
268.914	n/a	S  8	stimulus
269.391	n/a	S  1	response
270.664	n/a	S  8	stimulus
271.199	n/a	S  1	response
272.597	n/a	S 11	n/a
274.831	n/a	S  7	stimulus
275.327	n/a	S  3	response
276.764	n/a	S  7	stimulus
277.183	n/a	S  1	response
278.797	n/a	S  7	stimulus
279.263	n/a	S  2	response
280.73	n/a	S  7	stimulus
281.191	n/a	S  3	response
282.964	n/a	S 11	n/a
285.014	n/a	S  8	stimulus
285.695	n/a	S  2	response
287.164	n/a	S  8	stimulus
287.703	n/a	S  2	response
289.197	n/a	S  8	stimulus
289.662	n/a	S  3	response
291.13	n/a	S  8	stimulus
291.582	n/a	S  3	response
293.163	n/a	S 11	n/a
295.297	n/a	S 10	n/a
337.365	n/a	S 12	n/a
347.194	n/a	S  8	stimulus
347.813	n/a	S  1	response
349.228	n/a	S  8	stimulus
349.669	n/a	S  1	response
351.061	n/a	S  8	stimulus
351.613	n/a	S  2	response
353.194	n/a	S  8	stimulus
353.717	n/a	S  2	response
355.344	n/a	S 11	n/a
357.277	n/a	S 11	n/a
358.211	n/a	S  7	stimulus
358.605	n/a	S  1	response
360.344	n/a	S  7	stimulus
360.749	n/a	S  2	response
362.377	n/a	S  7	stimulus
362.717	n/a	S  3	response
364.327	n/a	S  7	stimulus
364.741	n/a	S  1	response
364.853	n/a	S  1	response
366.377	n/a	S 11	n/a
368.31	n/a	S  8	stimulus
368.837	n/a	S  3	response
370.444	n/a	S  8	stimulus
370.989	n/a	S  3	response
372.577	n/a	S  8	stimulus
373.117	n/a	S  1	response
374.51	n/a	S 11	n/a
376.243	n/a	S 11	n/a
377.177	n/a	S  5	stimulus
377.757	n/a	S  1	response
379.027	n/a	S  5	stimulus
379.429	n/a	S  1	response
380.96	n/a	S  5	stimulus
381.429	n/a	S  1	response
383.193	n/a	S 11	n/a
385.226	n/a	S  8	stimulus
385.717	n/a	S  1	response
387.26	n/a	S  8	stimulus
387.756	n/a	S  2	response
389.393	n/a	S  8	stimulus
389.94	n/a	S  2	response
391.326	n/a	S  8	stimulus
391.764	n/a	S  3	response
393.359	n/a	S 11	n/a
395.293	n/a	S 11	n/a
396.242	n/a	S  6	stimulus
396.956	n/a	S  3	response
398.176	n/a	S  6	stimulus
398.908	n/a	S  3	response
400.209	n/a	S  6	stimulus
400.844	n/a	S  3	response
401.942	n/a	S 11	n/a
403.892	n/a	S  5	stimulus
404.724	n/a	S  2	response
405.825	n/a	S  5	stimulus
406.34	n/a	S  1	response
407.859	n/a	S  5	stimulus
408.74	n/a	S  3	response
408.844	n/a	S  3	response
409.892	n/a	S 11	n/a
411.625	n/a	S  7	stimulus
412.212	n/a	S  2	response
413.658	n/a	S  7	stimulus
414.172	n/a	S  3	response
415.792	n/a	S  7	stimulus
416.26	n/a	S  1	response
417.625	n/a	S  7	stimulus
418.18	n/a	S  2	response
419.758	n/a	S 11	n/a
421.691	n/a	S  5	stimulus
422.34	n/a	S  1	response
423.941	n/a	S  5	stimulus
424.636	n/a	S  1	response
425.875	n/a	S  5	stimulus
426.732	n/a	S  2	response
427.725	n/a	S 11	n/a
429.858	n/a	S  6	stimulus
430.804	n/a	S  3	response
430.924	n/a	S  3	response
431.891	n/a	S  6	stimulus
432.676	n/a	S  1	response
433.924	n/a	S  6	stimulus
434.492	n/a	S  1	response
435.974	n/a	S  6	stimulus
436.491	n/a	S  1	response
438.007	n/a	S 11	n/a
439.741	n/a	S 10	n/a
449.757	n/a	S  8	stimulus
450.315	n/a	S  3	response
451.707	n/a	S  8	stimulus
452.219	n/a	S  1	response
453.557	n/a	S  8	stimulus
454.027	n/a	S  1	response
455.49	n/a	S  8	stimulus
456.003	n/a	S  2	response
457.44	n/a	S 11	n/a
459.473	n/a	S 11	n/a
460.407	n/a	S  5	stimulus
461.083	n/a	S  2	response
462.34	n/a	S  5	stimulus
463.027	n/a	S  3	response
464.29	n/a	S  5	stimulus
464.835	n/a	S  3	response
466.123	n/a	S  5	stimulus
466.627	n/a	S  1	response
467.956	n/a	S 11	n/a
470.089	n/a	S  6	stimulus
470.779	n/a	S  1	response
472.139	n/a	S  6	stimulus
472.883	n/a	S  2	response
473.989	n/a	S  6	stimulus
474.659	n/a	S  2	response
475.923	n/a	S 11	n/a
478.156	n/a	S 11	n/a
479.089	n/a	S  5	stimulus
479.699	n/a	S  1	response
481.139	n/a	S  5	stimulus
481.699	n/a	S  2	response
482.972	n/a	S  5	stimulus
483.707	n/a	S  2	response
484.706	n/a	S 11	n/a
486.639	n/a	S  7	stimulus
487.186	n/a	S  3	response
488.572	n/a	S  7	stimulus
489.01	n/a	S  1	response
490.805	n/a	S  7	stimulus
491.146	n/a	S  2	response
492.755	n/a	S  7	stimulus
494.788	n/a	S 11	n/a
496.922	n/a	S 11	n/a
497.855	n/a	S  5	stimulus
498.522	n/a	S  3	response
499.888	n/a	S  5	stimulus
500.618	n/a	S  3	response
501.638	n/a	S  5	stimulus
502.194	n/a	S  1	response
503.571	n/a	S 11	n/a
505.705	n/a	S  7	stimulus
506.162	n/a	S  1	response
507.938	n/a	S  7	stimulus
508.402	n/a	S  2	response
509.788	n/a	S  7	stimulus
510.146	n/a	S  3	response
512.021	n/a	S 11	n/a
513.754	n/a	S  6	stimulus
514.482	n/a	S  2	response
515.888	n/a	S  6	stimulus
516.618	n/a	S  2	response
517.821	n/a	S  6	stimulus
518.762	n/a	S  3	response
519.654	n/a	S 11	n/a
521.704	n/a	S  5	stimulus
522.378	n/a	S  1	response
523.737	n/a	S  5	stimulus
524.266	n/a	S  2	response
525.871	n/a	S  5	stimulus
526.442	n/a	S  2	response
527.904	n/a	S 11	n/a
530.137	n/a	S  8	stimulus
530.73	n/a	S  2	response
532.37	n/a	S  8	stimulus
532.889	n/a	S  3	response
534.42	n/a	S  8	stimulus
534.985	n/a	S  3	response
536.453	n/a	S  8	stimulus
537.193	n/a	S  1	response
538.687	n/a	S 11	n/a
540.62	n/a	S 10	n/a
550.636	n/a	S  8	stimulus
551.201	n/a	S  1	response
552.569	n/a	S  8	stimulus
553.089	n/a	S  2	response
554.303	n/a	S  8	stimulus
554.833	n/a	S  2	response
556.336	n/a	S 11	n/a
558.086	n/a	S 11	n/a
559.019	n/a	S  7	stimulus
559.425	n/a	S  1	response
561.052	n/a	S  7	stimulus
561.441	n/a	S  2	response
563.086	n/a	S  7	stimulus
563.457	n/a	S  3	response
565.136	n/a	S  7	stimulus
565.609	n/a	S  1	response
566.886	n/a	S 11	n/a
569.119	n/a	S  8	stimulus
569.641	n/a	S  3	response
571.069	n/a	S  8	stimulus
571.569	n/a	S  3	response
572.802	n/a	S  8	stimulus
573.337	n/a	S  1	response
575.035	n/a	S 11	n/a
577.285	n/a	S 11	n/a
578.218	n/a	S  6	stimulus
579.001	n/a	S  3	response
580.052	n/a	S  6	stimulus
580.809	n/a	S  3	response
582.002	n/a	S  6	stimulus
583.208	n/a	S  3	response
584.135	n/a	S 11	n/a
586.068	n/a	S  5	stimulus
586.648	n/a	S  3	response
587.901	n/a	S  5	stimulus
588.512	n/a	S  3	response
589.735	n/a	S  5	stimulus
590.48	n/a	S  1	response
590.568	n/a	S  1	response
591.768	n/a	S  5	stimulus
592.472	n/a	S  1	response
594.001	n/a	S 11	n/a
596.134	n/a	S  6	stimulus
597.048	n/a	S  1	response
598.368	n/a	S  6	stimulus
598.872	n/a	S  1	response
600.601	n/a	S  6	stimulus
601.144	n/a	S  1	response
602.434	n/a	S 11	n/a
604.484	n/a	S  5	stimulus
605.12	n/a	S  2	response
606.534	n/a	S  5	stimulus
607.248	n/a	S  2	response
608.567	n/a	S  5	stimulus
609.256	n/a	S  3	response
610.6	n/a	S  5	stimulus
611.176	n/a	S  3	response
612.534	n/a	S 11	n/a
614.267	n/a	S  7	stimulus
614.792	n/a	S  2	response
616.2	n/a	S  7	stimulus
616.664	n/a	S  3	response
618.133	n/a	S  7	stimulus
618.456	n/a	S  1	response
619.867	n/a	S  7	stimulus
620.264	n/a	S  2	response
621.7	n/a	S 11	n/a
623.433	n/a	S  6	stimulus
624.136	n/a	S  1	response
625.367	n/a	S  6	stimulus
626.032	n/a	S  2	response
627.2	n/a	S  6	stimulus
627.896	n/a	S  2	response
629.433	n/a	S 11	n/a
631.283	n/a	S  7	stimulus
631.871	n/a	S  3	response
633.333	n/a	S  7	stimulus
633.759	n/a	S  1	response
635.366	n/a	S  7	stimulus
635.767	n/a	S  2	response
637.516	n/a	S 11	n/a
639.749	n/a	S 10	n/a
681.818	n/a	S 12	n/a
690.831	n/a	S  7	stimulus
691.51	n/a	S  1	response
692.78	n/a	S  7	stimulus
693.134	n/a	S  2	response
694.614	n/a	S  7	stimulus
694.95	n/a	S  3	response
696.464	n/a	S  7	stimulus
696.838	n/a	S  1	response
698.397	n/a	S 11	n/a
700.547	n/a	S  8	stimulus
701.246	n/a	S  1	response
702.28	n/a	S  8	stimulus
702.654	n/a	S  1	response
704.43	n/a	S  8	stimulus
704.95	n/a	S  2	response
706.38	n/a	S  8	stimulus
706.878	n/a	S  2	response
708.33	n/a	S 11	n/a
710.263	n/a	S  5	stimulus
710.934	n/a	S  1	response
712.196	n/a	S  5	stimulus
712.646	n/a	S  1	response
714.346	n/a	S  5	stimulus
714.934	n/a	S  2	response
716.38	n/a	S 11	n/a
718.313	n/a	S  8	stimulus
718.83	n/a	S  3	response
720.246	n/a	S  8	stimulus
720.742	n/a	S  3	response
722.479	n/a	S  8	stimulus
722.99	n/a	S  1	response
724.529	n/a	S  8	stimulus
725.11	n/a	S  1	response
726.579	n/a	S 11	n/a
728.812	n/a	S  5	stimulus
729.613	n/a	S  2	response
730.946	n/a	S  5	stimulus
732.779	n/a	S  5	stimulus
733.349	n/a	S  3	response
734.812	n/a	S 11	n/a
736.845	n/a	S  6	stimulus
737.597	n/a	S  1	response
738.879	n/a	S  6	stimulus
739.605	n/a	S  3	response
741.112	n/a	S  6	stimulus
741.685	n/a	S  3	response
742.945	n/a	S 11	n/a
745.078	n/a	S  7	stimulus
745.637	n/a	S  2	response
747.112	n/a	S  7	stimulus
749.362	n/a	S  7	stimulus
749.725	n/a	S  1	response
751.095	n/a	S 11	n/a
753.228	n/a	S  8	stimulus
753.789	n/a	S  2	response
755.278	n/a	S  8	stimulus
755.829	n/a	S  2	response
757.228	n/a	S  8	stimulus
758.061	n/a	S  3	response
759.061	n/a	S  8	stimulus
759.493	n/a	S  3	response
760.894	n/a	S 11	n/a
762.928	n/a	S  6	stimulus
763.829	n/a	S  3	response
764.961	n/a	S  6	stimulus
765.597	n/a	S  1	response
766.994	n/a	S  6	stimulus
767.533	n/a	S  1	response
769.244	n/a	S  6	stimulus
769.789	n/a	S  1	response
771.377	n/a	S 11	n/a
773.227	n/a	S 10	n/a
783.243	n/a	S  6	stimulus
783.964	n/a	S  1	response
785.477	n/a	S  6	stimulus
786.124	n/a	S  2	response
787.71	n/a	S  6	stimulus
788.404	n/a	S  2	response
789.46	n/a	S 11	n/a
791.493	n/a	S  8	stimulus
791.98	n/a	S  1	response
793.426	n/a	S  8	stimulus
793.916	n/a	S  1	response
795.176	n/a	S  8	stimulus
795.796	n/a	S  2	response
797.41	n/a	S 11	n/a
799.559	n/a	S  6	stimulus
801.709	n/a	S  6	stimulus
802.484	n/a	S  2	response
803.559	n/a	S  6	stimulus
804.284	n/a	S  3	response
805.293	n/a	S 11	n/a
807.226	n/a	S 11	n/a
808.159	n/a	S  5	stimulus
808.668	n/a	S  1	response
810.092	n/a	S  5	stimulus
810.556	n/a	S  1	response
812.026	n/a	S  5	stimulus
812.644	n/a	S  2	response
813.776	n/a	S  5	stimulus
814.508	n/a	S  2	response
816.009	n/a	S 11	n/a
818.042	n/a	S  6	stimulus
818.764	n/a	S  3	response
820.075	n/a	S  6	stimulus
820.82	n/a	S  3	response
821.809	n/a	S  6	stimulus
822.34	n/a	S  3	response
823.759	n/a	S  6	stimulus
824.516	n/a	S  1	response
825.608	n/a	S 11	n/a
827.658	n/a	S  8	stimulus
828.211	n/a	S  2	response
829.392	n/a	S  8	stimulus
829.963	n/a	S  3	response
831.125	n/a	S  8	stimulus
831.739	n/a	S  3	response
833.158	n/a	S 11	n/a
834.991	n/a	S  7	stimulus
835.475	n/a	S  2	response
837.125	n/a	S  7	stimulus
837.603	n/a	S  3	response
838.858	n/a	S  7	stimulus
839.331	n/a	S  1	response
840.791	n/a	S  7	stimulus
841.275	n/a	S  2	response
842.724	n/a	S 11	n/a
844.758	n/a	S  8	stimulus
845.339	n/a	S  1	response
846.491	n/a	S  8	stimulus
846.971	n/a	S  1	response
848.424	n/a	S  8	stimulus
848.803	n/a	S  2	response
850.557	n/a	S 11	n/a
852.791	n/a	S  5	stimulus
853.707	n/a	S  3	response
854.824	n/a	S  5	stimulus
855.587	n/a	S  3	response
856.957	n/a	S  5	stimulus
857.467	n/a	S  1	response
858.69	n/a	S  5	stimulus
859.363	n/a	S  1	response
860.824	n/a	S 11	n/a
862.857	n/a	S  7	stimulus
863.483	n/a	S  3	response
864.69	n/a	S  7	stimulus
865.051	n/a	S  1	response
866.623	n/a	S  7	stimulus
867.011	n/a	S  2	response
868.357	n/a	S  7	stimulus
868.683	n/a	S  3	response
870.29	n/a	S 11	n/a
872.14	n/a	S 10	n/a
882.156	n/a	S  6	stimulus
884.389	n/a	S  6	stimulus
884.97	n/a	S  1	response
886.523	n/a	S  6	stimulus
887.146	n/a	S  1	response
888.773	n/a	S 11	n/a
890.506	n/a	S  7	stimulus
890.978	n/a	S  1	response
892.539	n/a	S  7	stimulus
892.874	n/a	S  2	response
894.272	n/a	S  7	stimulus
894.634	n/a	S  3	response
896.306	n/a	S 11	n/a
898.355	n/a	S  5	stimulus
898.962	n/a	S  2	response
900.389	n/a	S  5	stimulus
901.082	n/a	S  2	response
902.322	n/a	S  5	stimulus
902.842	n/a	S  1	response
904.355	n/a	S 11	n/a
906.288	n/a	S  6	stimulus
906.922	n/a	S  2	response
908.338	n/a	S  6	stimulus
909.066	n/a	S  2	response
910.172	n/a	S  6	stimulus
911.122	n/a	S  1	response
911.234	n/a	S  2	response
912.305	n/a	S  6	stimulus
913.05	n/a	S  2	response
914.455	n/a	S 11	n/a
916.488	n/a	S  5	stimulus
917.242	n/a	S  3	response
918.421	n/a	S  5	stimulus
918.89	n/a	S  1	response
920.271	n/a	S  5	stimulus
920.922	n/a	S  1	response
922.205	n/a	S 11	n/a
924.138	n/a	S  8	stimulus
924.665	n/a	S  2	response
925.971	n/a	S  8	stimulus
926.473	n/a	S  3	response
928.004	n/a	S  8	stimulus
928.537	n/a	S  3	response
929.838	n/a	S  8	stimulus
930.385	n/a	S  1	response
931.771	n/a	S 11	n/a
933.804	n/a	S  6	stimulus
934.505	n/a	S  3	response
935.854	n/a	S  6	stimulus
936.617	n/a	S  3	response
937.604	n/a	S  6	stimulus
938.185	n/a	S  3	response
939.537	n/a	S 11	n/a
941.47	n/a	S  8	stimulus
942.073	n/a	S  1	response
943.304	n/a	S  8	stimulus
943.897	n/a	S  2	response
945.337	n/a	S  8	stimulus
945.473	n/a	S  3	response
947.57	n/a	S 11	n/a
949.503	n/a	S  6	stimulus
951.637	n/a	S  6	stimulus
