onset	duration	event_type	trial_type
4.12	n/a	S  7	stimulus
4.846	n/a	S  1	response
6.27	n/a	S  7	stimulus
6.862	n/a	S  2	response
8.303	n/a	S  7	stimulus
8.789	n/a	S  3	response
10.353	n/a	S  7	stimulus
10.837	n/a	S  1	response
12.387	n/a	S 11	n/a
14.12	n/a	S 11	n/a
15.053	n/a	S  6	stimulus
15.885	n/a	S  3	response
17.103	n/a	S  6	stimulus
17.909	n/a	S  3	response
19.136	n/a	S  6	stimulus
19.821	n/a	S  3	response
21.07	n/a	S 11	n/a
23.003	n/a	S  8	stimulus
23.685	n/a	S  1	response
24.953	n/a	S  8	stimulus
25.541	n/a	S  1	response
26.886	n/a	S  8	stimulus
27.517	n/a	S  2	response
29.119	n/a	S  8	stimulus
29.653	n/a	S  2	response
31.052	n/a	S 11	n/a
33.086	n/a	S 11	n/a
34.036	n/a	S  6	stimulus
34.749	n/a	S  3	response
35.769	n/a	S  6	stimulus
36.485	n/a	S  1	response
37.702	n/a	S  6	stimulus
38.373	n/a	S  1	response
39.652	n/a	S  6	stimulus
40.365	n/a	S  1	response
41.685	n/a	S 11	n/a
43.919	n/a	S  8	stimulus
44.493	n/a	S  3	response
45.952	n/a	S  8	stimulus
46.485	n/a	S  3	response
47.985	n/a	S  8	stimulus
48.589	n/a	S  1	response
49.918	n/a	S 11	n/a
51.652	n/a	S 11	n/a
52.602	n/a	S  6	stimulus
53.277	n/a	S  1	response
54.635	n/a	S  6	stimulus
55.485	n/a	S  2	response
56.385	n/a	S  6	stimulus
57.22	n/a	S  2	response
58.418	n/a	S 11	n/a
60.551	n/a	S  5	stimulus
61.388	n/a	S  1	response
62.501	n/a	S  5	stimulus
63.172	n/a	S  1	response
64.634	n/a	S  5	stimulus
65.388	n/a	S  2	response
66.384	n/a	S 11	n/a
68.434	n/a	S  7	stimulus
68.972	n/a	S  2	response
70.467	n/a	S  7	stimulus
71.02	n/a	S  3	response
72.701	n/a	S  7	stimulus
73.244	n/a	S  1	response
74.534	n/a	S 11	n/a
76.567	n/a	S  5	stimulus
77.268	n/a	S  2	response
78.8	n/a	S  5	stimulus
79.524	n/a	S  3	response
81.034	n/a	S  5	stimulus
81.716	n/a	S  3	response
82.884	n/a	S 11	n/a
84.717	n/a	S  8	stimulus
85.308	n/a	S  1	response
86.75	n/a	S  8	stimulus
87.228	n/a	S  2	response
88.783	n/a	S  8	stimulus
89.292	n/a	S  2	response
90.517	n/a	S 11	n/a
92.25	n/a	S 10	n/a
102.266	n/a	S  7	stimulus
103.076	n/a	S  2	response
103.999	n/a	S  7	stimulus
104.579	n/a	S  3	response
106.049	n/a	S  7	stimulus
106.675	n/a	S  1	response
108.083	n/a	S 11	n/a
110.232	n/a	S 11	n/a
111.166	n/a	S  6	stimulus
112.227	n/a	S  2	response
113.316	n/a	S  6	stimulus
113.987	n/a	S  2	response
115.249	n/a	S  6	stimulus
