onset	duration	event_type	trial_type
5.268	n/a	S  5	stimulus
6.085	n/a	S  1	response
7.201	n/a	S  5	stimulus
7.86	n/a	S  1	response
9.335	n/a	S  5	stimulus
9.844	n/a	S  2	response
11.268	n/a	S 11	n/a
13.401	n/a	S  6	stimulus
14.14	n/a	S  3	response
15.334	n/a	S  6	stimulus
15.972	n/a	S  1	response
17.368	n/a	S  6	stimulus
18.108	n/a	S  3	response
19.101	n/a	S  6	stimulus
19.9	n/a	S  3	response
21.151	n/a	S 11	n/a
23.084	n/a	S  7	stimulus
23.74	n/a	S  1	response
25.117	n/a	S  7	stimulus
25.676	n/a	S  2	response
27.167	n/a	S  7	stimulus
27.668	n/a	S  3	response
29.101	n/a	S  7	stimulus
29.668	n/a	S  1	response
31.034	n/a	S 11	n/a
32.967	n/a	S  8	stimulus
33.58	n/a	S  1	response
34.9	n/a	S  8	stimulus
35.468	n/a	S  1	response
37.134	n/a	S  8	stimulus
37.852	n/a	S  2	response
39.384	n/a	S 11	n/a
41.217	n/a	S  5	stimulus
42.1	n/a	S  2	response
43.15	n/a	S  5	stimulus
43.948	n/a	S  3	response
45.183	n/a	S  5	stimulus
45.932	n/a	S  3	response
47.433	n/a	S 11	n/a
49.667	n/a	S  6	stimulus
50.444	n/a	S  1	response
51.7	n/a	S  6	stimulus
52.3	n/a	S  1	response
53.933	n/a	S  6	stimulus
54.476	n/a	S  1	response
55.866	n/a	S 11	n/a
57.6	n/a	S  7	stimulus
58.212	n/a	S  2	response
59.85	n/a	S  7	stimulus
60.388	n/a	S  3	response
61.683	n/a	S  7	stimulus
62.284	n/a	S  1	response
63.516	n/a	S 11	n/a
65.449	n/a	S  6	stimulus
66.252	n/a	S  1	response
67.383	n/a	S  6	stimulus
68.252	n/a	S  2	response
69.433	n/a	S  6	stimulus
70.196	n/a	S  2	response
71.466	n/a	S 11	n/a
73.432	n/a	S  8	stimulus
74.236	n/a	S  2	response
75.366	n/a	S  8	stimulus
75.94	n/a	S  3	response
77.216	n/a	S  8	stimulus
77.932	n/a	S  3	response
79.049	n/a	S  8	stimulus
79.868	n/a	S  1	response
80.899	n/a	S 11	n/a
82.832	n/a	S 10	n/a
92.849	n/a	S  8	stimulus
93.635	n/a	S  1	response
95.082	n/a	S  8	stimulus
95.619	n/a	S  2	response
97.232	n/a	S  8	stimulus
97.787	n/a	S  2	response
99.065	n/a	S 11	n/a
101.098	n/a	S 11	n/a
102.032	n/a	S  5	stimulus
102.635	n/a	S  1	response
103.965	n/a	S  5	stimulus
104.579	n/a	S  1	response
105.715	n/a	S  5	stimulus
106.555	n/a	S  2	response
107.648	n/a	S 11	n/a
109.581	n/a	S  6	stimulus
110.347	n/a	S  2	response
111.415	n/a	S  6	stimulus
112.123	n/a	S  2	response
113.448	n/a	S  6	stimulus
114.139	n/a	S  3	response
115.181	n/a	S  6	stimulus
116.011	n/a	S  3	response
117.314	n/a	S 11	n/a
119.148	n/a	S  7	stimulus
119.699	n/a	S  2	response
121.281	n/a	S  7	stimulus
121.955	n/a	S  3	response
123.514	n/a	S  7	stimulus
124.123	n/a	S  1	response
125.747	n/a	S  7	stimulus
126.363	n/a	S  2	response
127.981	n/a	S 11	n/a
130.014	n/a	S  6	stimulus
130.819	n/a	S  3	response
131.947	n/a	S  6	stimulus
132.651	n/a	S  3	response
133.881	n/a	S  6	stimulus
134.659	n/a	S  1	response
135.914	n/a	S 11	n/a
138.064	n/a	S  7	stimulus
138.667	n/a	S  3	response
139.797	n/a	S  7	stimulus
140.435	n/a	S  1	response
142.03	n/a	S  7	stimulus
142.555	n/a	S  2	response
144.064	n/a	S 11	n/a
146.197	n/a	S  5	stimulus
146.931	n/a	S  2	response
148.23	n/a	S  5	stimulus
148.979	n/a	S  3	response
150.163	n/a	S  5	stimulus
151.059	n/a	S  3	response
152.097	n/a	S  5	stimulus
153.075	n/a	S  1	response
153.83	n/a	S 11	n/a
155.78	n/a	S  8	stimulus
156.339	n/a	S  3	response
157.613	n/a	S  8	stimulus
158.131	n/a	S  3	response
159.346	n/a	S  8	stimulus
159.923	n/a	S  1	response
161.38	n/a	S  8	stimulus
161.907	n/a	S  1	response
163.413	n/a	S 11	n/a
165.246	n/a	S  5	stimulus
165.947	n/a	S  1	response
166.979	n/a	S  5	stimulus
167.483	n/a	S  2	response
168.813	n/a	S  5	stimulus
169.499	n/a	S  2	response
170.846	n/a	S  5	stimulus
171.499	n/a	S  3	response
172.879	n/a	S 11	n/a
174.813	n/a	S  7	stimulus
175.323	n/a	S  3	response
176.646	n/a	S  7	stimulus
177.107	n/a	S  1	response
178.579	n/a	S  7	stimulus
179.051	n/a	S  2	response
180.812	n/a	S 11	n/a
182.746	n/a	S 10	n/a
192.762	n/a	S  6	stimulus
193.466	n/a	S  1	response
194.495	n/a	S  6	stimulus
195.066	n/a	S  1	response
196.345	n/a	S  6	stimulus
197.01	n/a	S  1	response
198.378	n/a	S  6	stimulus
199.186	n/a	S  2	response
200.112	n/a	S 11	n/a
201.962	n/a	S 11	n/a
202.895	n/a	S  5	stimulus
203.626	n/a	S  3	response
205.028	n/a	S  5	stimulus
205.586	n/a	S  1	response
206.962	n/a	S  5	stimulus
207.53	n/a	S  1	response
208.995	n/a	S 11	n/a
210.728	n/a	S  7	stimulus
211.282	n/a	S  3	response
212.861	n/a	S  7	stimulus
213.378	n/a	S  1	response
214.811	n/a	S  7	stimulus
215.322	n/a	S  2	response
216.545	n/a	S 11	n/a
218.478	n/a	S 11	n/a
219.444	n/a	S  6	stimulus
220.498	n/a	S  2	response
221.478	n/a	S  6	stimulus
222.242	n/a	S  2	response
223.611	n/a	S  6	stimulus
224.146	n/a	S  2	response
225.744	n/a	S  6	stimulus
226.362	n/a	S  3	response
227.778	n/a	S 11	n/a
229.811	n/a	S  7	stimulus
230.338	n/a	S  3	response
231.744	n/a	S  7	stimulus
232.378	n/a	S  1	response
233.677	n/a	S  7	stimulus
234.146	n/a	S  2	response
235.911	n/a	S  7	stimulus
236.41	n/a	S  3	response
237.744	n/a	S 11	n/a
239.977	n/a	S  8	stimulus
240.57	n/a	S  2	response
