onset	duration	event_type	trial_type
10.623	n/a	S  5	stimulus
11.04	n/a	S  1	response
12.156	n/a	S  5	stimulus
12.464	n/a	S  1	response
13.89	n/a	S  5	stimulus
14.192	n/a	S  1	response
15.623	n/a	S  5	stimulus
15.96	n/a	S  1	response
17.457	n/a	S  5	stimulus
17.768	n/a	S  1	response
19.189	n/a	S  5	stimulus
19.536	n/a	S  1	response
20.223	n/a	S  5	stimulus
20.712	n/a	S  1	response
21.956	n/a	S  5	stimulus
22.256	n/a	S  1	response
23.589	n/a	S  5	stimulus
23.928	n/a	S  1	response
25.223	n/a	S  5	stimulus
25.536	n/a	S  1	response
26.956	n/a	S  5	stimulus
27.272	n/a	S  1	response
28.689	n/a	S  5	stimulus
28.952	n/a	S  1	response
30.522	n/a	S  5	stimulus
30.824	n/a	S  1	response
32.356	n/a	S  5	stimulus
32.648	n/a	S  1	response
33.989	n/a	S  5	stimulus
34.312	n/a	S  1	response
35.622	n/a	S  5	stimulus
35.944	n/a	S  1	response
37.556	n/a	S  5	stimulus
37.864	n/a	S  1	response
39.289	n/a	S  5	stimulus
39.544	n/a	S  1	response
41.022	n/a	S  5	stimulus
41.304	n/a	S  1	response
42.555	n/a	S  5	stimulus
42.864	n/a	S  1	response
44.389	n/a	S  5	stimulus
44.728	n/a	S  1	response
46.122	n/a	S  5	stimulus
46.52	n/a	S  1	response
47.955	n/a	S  5	stimulus
48.256	n/a	S  1	response
49.789	n/a	S  5	stimulus
50.104	n/a	S  1	response
51.522	n/a	S 10	n/a
71.538	n/a	S  5	stimulus
71.952	n/a	S  1	response
73.071	n/a	S  5	stimulus
73.4	n/a	S  1	response
74.904	n/a	S  5	stimulus
75.208	n/a	S  1	response
76.938	n/a	S  5	stimulus
77.288	n/a	S  1	response
78.671	n/a	S  5	stimulus
78.992	n/a	S  1	response
80.604	n/a	S  5	stimulus
80.88	n/a	S  1	response
82.237	n/a	S  5	stimulus
82.536	n/a	S  1	response
83.971	n/a	S  5	stimulus
84.24	n/a	S  1	response
85.604	n/a	S  5	stimulus
85.887	n/a	S  1	response
87.237	n/a	S  5	stimulus
87.511	n/a	S  1	response
89.271	n/a	S  5	stimulus
89.583	n/a	S  1	response
91.104	n/a	S  5	stimulus
91.351	n/a	S  1	response
92.837	n/a	S  5	stimulus
93.095	n/a	S  1	response
94.87	n/a	S  5	stimulus
95.135	n/a	S  1	response
96.604	n/a	S  5	stimulus
96.911	n/a	S  1	response
98.437	n/a	S  5	stimulus
98.695	n/a	S  1	response
100.17	n/a	S  5	stimulus
100.431	n/a	S  1	response
101.803	n/a	S  5	stimulus
102.135	n/a	S  1	response
103.737	n/a	S  5	stimulus
104.007	n/a	S  1	response
105.27	n/a	S 10	n/a
125.286	n/a	S  5	stimulus
125.759	n/a	S  1	response
126.919	n/a	S  5	stimulus
127.279	n/a	S  1	response
128.853	n/a	S  5	stimulus
129.143	n/a	S  1	response
130.386	n/a	S  5	stimulus
130.695	n/a	S  1	response
131.919	n/a	S  5	stimulus
132.207	n/a	S  1	response
133.752	n/a	S  5	stimulus
134.039	n/a	S  1	response
135.486	n/a	S  5	stimulus
135.751	n/a	S  1	response
137.319	n/a	S  5	stimulus
137.615	n/a	S  1	response
139.352	n/a	S  5	stimulus
139.663	n/a	S  1	response
141.286	n/a	S  5	stimulus
141.559	n/a	S  1	response
143.019	n/a	S  5	stimulus
143.287	n/a	S  1	response
144.952	n/a	S  5	stimulus
145.223	n/a	S  1	response
146.685	n/a	S  5	stimulus
146.983	n/a	S  1	response
148.619	n/a	S  5	stimulus
148.871	n/a	S  1	response
150.552	n/a	S  5	stimulus
150.823	n/a	S  1	response
152.585	n/a	S  5	stimulus
152.847	n/a	S  1	response
154.418	n/a	S  5	stimulus
154.679	n/a	S  1	response
156.152	n/a	S  5	stimulus
156.479	n/a	S  1	response
157.985	n/a	S  5	stimulus
158.255	n/a	S  1	response
159.618	n/a	S  5	stimulus
159.951	n/a	S  1	response
161.452	n/a	S  5	stimulus
161.743	n/a	S  1	response
163.285	n/a	S  5	stimulus
163.511	n/a	S  1	response
165.118	n/a	S  5	stimulus
165.415	n/a	S  1	response
166.751	n/a	S  5	stimulus
167.127	n/a	S  1	response
168.585	n/a	S  5	stimulus
168.815	n/a	S  1	response
170.118	n/a	S  5	stimulus
170.423	n/a	S  1	response
171.951	n/a	S 10	n/a
172.207	n/a	S  1	response
214.001	n/a	S 12	n/a
222.433	n/a	S  5	stimulus
222.934	n/a	S  1	response
224.266	n/a	S  5	stimulus
224.574	n/a	S  1	response
226.099	n/a	S  5	stimulus
226.398	n/a	S  1	response
228.033	n/a	S  5	stimulus
228.302	n/a	S  1	response
229.866	n/a	S  5	stimulus
230.15	n/a	S  1	response
230.9	n/a	S  5	stimulus
231.406	n/a	S  1	response
232.933	n/a	S  5	stimulus
233.174	n/a	S  1	response
234.966	n/a	S  5	stimulus
235.262	n/a	S  1	response
