onset	duration	event_type	trial_type
5.869	n/a	S  5	stimulus
6.543	n/a	S  1	response
8.002	n/a	S  5	stimulus
8.479	n/a	S  1	response
9.836	n/a	S  5	stimulus
10.343	n/a	S  2	response
11.786	n/a	S 11	n/a
13.719	n/a	S  6	stimulus
14.239	n/a	S  3	response
15.452	n/a	S  6	stimulus
15.967	n/a	S  3	response
17.285	n/a	S  6	stimulus
17.959	n/a	S  3	response
19.219	n/a	S  6	stimulus
19.871	n/a	S  3	response
21.168	n/a	S 11	n/a
23.002	n/a	S  8	stimulus
23.487	n/a	S  1	response
25.035	n/a	S  8	stimulus
25.543	n/a	S  1	response
27.268	n/a	S  8	stimulus
27.759	n/a	S  2	response
29.301	n/a	S 11	n/a
31.135	n/a	S 11	n/a
32.068	n/a	S  7	stimulus
32.535	n/a	S  1	response
34.301	n/a	S  7	stimulus
34.759	n/a	S  2	response
36.435	n/a	S  7	stimulus
36.855	n/a	S  3	response
38.668	n/a	S  7	stimulus
39.087	n/a	S  1	response
40.901	n/a	S 11	n/a
42.851	n/a	S  5	stimulus
43.502	n/a	S  2	response
44.884	n/a	S  5	stimulus
45.55	n/a	S  3	response
47.017	n/a	S  5	stimulus
47.694	n/a	S  3	response
48.751	n/a	S  5	stimulus
49.302	n/a	S  1	response
50.684	n/a	S 11	n/a
52.417	n/a	S  8	stimulus
52.974	n/a	S  2	response
54.35	n/a	S  8	stimulus
54.854	n/a	S  3	response
56.3	n/a	S  8	stimulus
56.814	n/a	S  3	response
58.434	n/a	S 11	n/a
60.567	n/a	S  6	stimulus
61.11	n/a	S  2	response
61.278	n/a	S  1	response
62.8	n/a	S  6	stimulus
63.382	n/a	S  1	response
64.533	n/a	S  6	stimulus
65.118	n/a	S  1	response
66.783	n/a	S  6	stimulus
67.406	n/a	S  1	response
68.617	n/a	S 11	n/a
70.55	n/a	S  7	stimulus
71.142	n/a	S  2	response
72.683	n/a	S  7	stimulus
73.23	n/a	S  3	response
74.633	n/a	S  7	stimulus
75.15	n/a	S  1	response
76.383	n/a	S 11	n/a
78.216	n/a	S  8	stimulus
78.79	n/a	S  1	response
80.349	n/a	S  8	stimulus
80.862	n/a	S  1	response
82.283	n/a	S  8	stimulus
82.782	n/a	S  2	response
84.333	n/a	S 11	n/a
86.266	n/a	S 10	n/a
96.282	n/a	S  8	stimulus
96.869	n/a	S  2	response
98.215	n/a	S  8	stimulus
98.701	n/a	S  3	response
100.149	n/a	S  8	stimulus
100.621	n/a	S  3	response
102.099	n/a	S 11	n/a
104.032	n/a	S 11	n/a
104.965	n/a	S  6	stimulus
105.573	n/a	S  2	response
106.815	n/a	S  6	stimulus
107.485	n/a	S  2	response
108.865	n/a	S  6	stimulus
109.645	n/a	S  2	response
110.898	n/a	S  6	stimulus
111.445	n/a	S  2	response
112.848	n/a	S 11	n/a
114.881	n/a	S  7	stimulus
115.533	n/a	S  2	response
116.615	n/a	S  7	stimulus
117.117	n/a	S  3	response
118.648	n/a	S  7	stimulus
119.037	n/a	S  1	response
120.681	n/a	S  7	stimulus
121.213	n/a	S  2	response
122.831	n/a	S 11	n/a
124.864	n/a	S 11	n/a
125.798	n/a	S  5	stimulus
126.341	n/a	S  1	response
127.631	n/a	S  5	stimulus
128.157	n/a	S  2	response
129.564	n/a	S  5	stimulus
130.125	n/a	S  2	response
131.697	n/a	S  5	stimulus
132.261	n/a	S  3	response
133.431	n/a	S 11	n/a
135.364	n/a	S  6	stimulus
135.997	n/a	S  3	response
137.397	n/a	S  6	stimulus
138.005	n/a	S  3	response
139.53	n/a	S  6	stimulus
