onset	duration	event_type	trial_type
4.65	n/a	S  6	stimulus
5.449	n/a	S  3	response
6.383	n/a	S  6	stimulus
7.033	n/a	S  3	response
8.316	n/a	S  6	stimulus
8.905	n/a	S  3	response
10.05	n/a	S 11	n/a
11.9	n/a	S  8	stimulus
12.545	n/a	S  1	response
13.833	n/a	S  8	stimulus
14.337	n/a	S  1	response
15.766	n/a	S  8	stimulus
16.305	n/a	S  2	response
17.699	n/a	S  8	stimulus
18.176	n/a	S  2	response
19.533	n/a	S 11	n/a
21.666	n/a	S  7	stimulus
22.096	n/a	S  1	response
23.699	n/a	S  7	stimulus
24.208	n/a	S  2	response
25.932	n/a	S  7	stimulus
26.352	n/a	S  3	response
27.766	n/a	S  7	stimulus
28.208	n/a	S  1	response
29.799	n/a	S 11	n/a
31.732	n/a	S  8	stimulus
32.224	n/a	S  3	response
33.682	n/a	S  8	stimulus
34.176	n/a	S  3	response
35.715	n/a	S  8	stimulus
36.152	n/a	S  1	response
37.949	n/a	S  8	stimulus
38.432	n/a	S  1	response
39.682	n/a	S 11	n/a
41.715	n/a	S  5	stimulus
42.368	n/a	S  1	response
43.748	n/a	S  5	stimulus
44.4	n/a	S  1	response
45.782	n/a	S  5	stimulus
46.4	n/a	S  2	response
47.915	n/a	S 11	n/a
49.748	n/a	S  6	stimulus
50.52	n/a	S  3	response
51.481	n/a	S  6	stimulus
52.4	n/a	S  1	response
53.515	n/a	S  6	stimulus
54.208	n/a	S  1	response
55.748	n/a	S 11	n/a
57.781	n/a	S  7	stimulus
58.224	n/a	S  2	response
59.831	n/a	S  7	stimulus
60.344	n/a	S  3	response
61.864	n/a	S  7	stimulus
62.28	n/a	S  1	response
63.697	n/a	S 11	n/a
65.647	n/a	S  5	stimulus
66.303	n/a	S  2	response
67.481	n/a	S  5	stimulus
68.175	n/a	S  3	response
69.314	n/a	S  5	stimulus
69.959	n/a	S  3	response
71.347	n/a	S 11	n/a
73.28	n/a	S  7	stimulus
73.767	n/a	S  2	response
75.314	n/a	S  7	stimulus
75.807	n/a	S  3	response
77.247	n/a	S  7	stimulus
77.639	n/a	S  1	response
79.397	n/a	S  7	stimulus
79.887	n/a	S  2	response
81.63	n/a	S 11	n/a
83.663	n/a	S  8	stimulus
84.239	n/a	S  2	response
85.596	n/a	S  8	stimulus
86.063	n/a	S  2	response
87.63	n/a	S  8	stimulus
88.039	n/a	S  3	response
89.58	n/a	S  8	stimulus
90.007	n/a	S  2	response
91.713	n/a	S 11	n/a
93.646	n/a	S 10	n/a
103.662	n/a	S  8	stimulus
104.439	n/a	S  1	response
105.696	n/a	S  8	stimulus
106.143	n/a	S  1	response
107.729	n/a	S  8	stimulus
108.223	n/a	S  2	response
109.562	n/a	S 11	n/a
111.595	n/a	S 11	n/a
112.545	n/a	S  6	stimulus
113.366	n/a	S  1	response
114.295	n/a	S  6	stimulus
115.238	n/a	S  1	response
116.228	n/a	S  6	stimulus
116.846	n/a	S  2	response
118.162	n/a	S 11	n/a
120.195	n/a	S  7	stimulus
120.79	n/a	S  3	response
121.928	n/a	S  7	stimulus
122.462	n/a	S  1	response
123.961	n/a	S  7	stimulus
124.366	n/a	S  2	response
125.995	n/a	S 11	n/a
128.028	n/a	S 11	n/a
128.978	n/a	S  6	stimulus
129.598	n/a	S  2	response
131.011	n/a	S  6	stimulus
131.822	n/a	S  3	response
132.844	n/a	S  6	stimulus
133.542	n/a	S  2	response
134.978	n/a	S 11	n/a
137.111	n/a	S  8	stimulus
137.686	n/a	S  2	response
139.144	n/a	S  8	stimulus
139.694	n/a	S  3	response
141.394	n/a	S  8	stimulus
141.966	n/a	S  3	response
143.127	n/a	S 11	n/a
145.177	n/a	S 11	n/a
146.111	n/a	S  6	stimulus
146.694	n/a	S  3	response
148.044	n/a	S  6	stimulus
148.75	n/a	S  3	response
150.177	n/a	S  6	stimulus
150.798	n/a	S  3	response
152.21	n/a	S  6	stimulus
153.014	n/a	S  3	response
154.243	n/a	S 11	n/a
156.477	n/a	S  5	stimulus
157.086	n/a	S  1	response
158.41	n/a	S  5	stimulus
159.182	n/a	S  1	response
160.643	n/a	S  5	stimulus
161.285	n/a	S  2	response
162.876	n/a	S 11	n/a
165.01	n/a	S  8	stimulus
165.701	n/a	S  1	response
166.943	n/a	S  8	stimulus
167.413	n/a	S  1	response
169.076	n/a	S  8	stimulus
169.565	n/a	S  2	response
171.026	n/a	S  8	stimulus
171.469	n/a	S  2	response
173.159	n/a	S 11	n/a
175.393	n/a	S  7	stimulus
175.877	n/a	S  3	response
177.326	n/a	S  7	stimulus
177.797	n/a	S  1	response
179.559	n/a	S  7	stimulus
179.997	n/a	S  2	response
181.692	n/a	S 11	n/a
183.526	n/a	S 10	n/a
193.542	n/a	S  7	stimulus
194.101	n/a	S  3	response
195.375	n/a	S  7	stimulus
195.837	n/a	S  1	response
197.308	n/a	S  7	stimulus
197.749	n/a	S  2	response
199.342	n/a	S 11	n/a
201.275	n/a	S  8	stimulus
201.757	n/a	S  3	response
203.325	n/a	S  8	stimulus
203.797	n/a	S  3	response
205.275	n/a	S  8	stimulus
205.717	n/a	S  1	response
207.208	n/a	S 11	n/a
209.042	n/a	S  5	stimulus
209.764	n/a	S  2	response
211.191	n/a	S  5	stimulus
211.852	n/a	S  3	response
213.124	n/a	S  5	stimulus
213.956	n/a	S  3	response
214.858	n/a	S  5	stimulus
215.324	n/a	S  1	response
216.591	n/a	S 11	n/a
218.824	n/a	S  6	stimulus
219.684	n/a	S  1	response
220.757	n/a	S  6	stimulus
221.364	n/a	S  1	response
222.891	n/a	S  6	stimulus
223.644	n/a	S  1	response
