onset	duration	event_type	trial_type
3.398	n/a	S  5	stimulus
4.284	n/a	S  1	response
5.232	n/a	S  5	stimulus
5.588	n/a	S  1	response
7.265	n/a	S  5	stimulus
7.628	n/a	S  1	response
9.298	n/a	S  5	stimulus
9.604	n/a	S  1	response
10.931	n/a	S  5	stimulus
11.228	n/a	S  1	response
12.565	n/a	S  5	stimulus
12.828	n/a	S  1	response
14.398	n/a	S  5	stimulus
14.636	n/a	S  1	response
16.231	n/a	S  5	stimulus
16.452	n/a	S  1	response
18.265	n/a	S  5	stimulus
18.476	n/a	S  1	response
20.298	n/a	S  5	stimulus
20.54	n/a	S  1	response
22.331	n/a	S  5	stimulus
24.264	n/a	S  5	stimulus
24.483	n/a	S  1	response
25.798	n/a	S  5	stimulus
26.051	n/a	S  1	response
27.731	n/a	S  5	stimulus
27.963	n/a	S  1	response
29.364	n/a	S  5	stimulus
29.587	n/a	S  1	response
30.997	n/a	S  5	stimulus
31.235	n/a	S  1	response
32.931	n/a	S  5	stimulus
33.115	n/a	S  1	response
34.764	n/a	S  5	stimulus
34.979	n/a	S  1	response
36.697	n/a	S 10	n/a
36.739	n/a	S  1	response
56.73	n/a	S  5	stimulus
57.139	n/a	S  1	response
58.563	n/a	S  5	stimulus
58.827	n/a	S  1	response
60.396	n/a	S  5	stimulus
60.635	n/a	S  1	response
62.13	n/a	S  5	stimulus
62.403	n/a	S  1	response
63.963	n/a	S  5	stimulus
64.211	n/a	S  1	response
65.596	n/a	S  5	stimulus
65.859	n/a	S  1	response
67.33	n/a	S  5	stimulus
67.563	n/a	S  1	response
69.163	n/a	S  5	stimulus
69.435	n/a	S  1	response
70.996	n/a	S  5	stimulus
71.259	n/a	S  1	response
72.929	n/a	S  5	stimulus
73.179	n/a	S  1	response
74.963	n/a	S  5	stimulus
75.203	n/a	S  1	response
76.596	n/a	S  5	stimulus
76.859	n/a	S  1	response
78.429	n/a	S  5	stimulus
78.691	n/a	S  1	response
80.163	n/a	S  5	stimulus
80.403	n/a	S  1	response
81.996	n/a	S  5	stimulus
82.059	n/a	S  1	response
83.829	n/a	S  5	stimulus
83.987	n/a	S  1	response
85.562	n/a	S  5	stimulus
85.619	n/a	S  1	response
87.339	n/a	S  1	response
87.596	n/a	S  5	stimulus
88.051	n/a	S  1	response
89.629	n/a	S  5	stimulus
89.867	n/a	S  1	response
91.162	n/a	S 10	n/a
91.435	n/a	S  1	response
111.178	n/a	S  5	stimulus
111.707	n/a	S  1	response
113.111	n/a	S  5	stimulus
113.402	n/a	S  1	response
114.845	n/a	S  5	stimulus
115.098	n/a	S  1	response
116.478	n/a	S  5	stimulus
116.738	n/a	S  1	response
118.211	n/a	S  5	stimulus
118.522	n/a	S  1	response
119.945	n/a	S  5	stimulus
120.178	n/a	S  1	response
121.878	n/a	S  5	stimulus
122.114	n/a	S  1	response
123.411	n/a	S  5	stimulus
123.722	n/a	S  1	response
125.244	n/a	S  5	stimulus
