onset	duration	event_type	trial_type
3.577	n/a	S  5	stimulus
4.208	n/a	S  1	response
5.111	n/a	S  5	stimulus
5.472	n/a	S  1	response
7.144	n/a	S  5	stimulus
7.472	n/a	S  1	response
9.177	n/a	S  5	stimulus
9.6	n/a	S  1	response
10.71	n/a	S  5	stimulus
11.064	n/a	S  1	response
12.644	n/a	S  5	stimulus
12.976	n/a	S  1	response
14.577	n/a	S  5	stimulus
14.856	n/a	S  1	response
16.21	n/a	S  5	stimulus
16.544	n/a	S  1	response
18.144	n/a	S  5	stimulus
18.416	n/a	S  1	response
19.677	n/a	S  5	stimulus
19.96	n/a	S  1	response
21.51	n/a	S  5	stimulus
21.736	n/a	S  1	response
23.143	n/a	S  5	stimulus
23.456	n/a	S  1	response
24.877	n/a	S  5	stimulus
25.152	n/a	S  1	response
26.61	n/a	S  5	stimulus
26.88	n/a	S  1	response
28.343	n/a	S  5	stimulus
28.656	n/a	S  1	response
29.976	n/a	S  5	stimulus
30.208	n/a	S  1	response
32.01	n/a	S  5	stimulus
32.192	n/a	S  1	response
33.843	n/a	S  5	stimulus
34.104	n/a	S  1	response
35.576	n/a	S  5	stimulus
35.872	n/a	S  1	response
37.41	n/a	S  5	stimulus
37.704	n/a	S  1	response
38.943	n/a	S  5	stimulus
39.231	n/a	S  1	response
40.876	n/a	S 10	n/a
41.127	n/a	S  1	response
60.892	n/a	S  5	stimulus
61.647	n/a	S  1	response
62.725	n/a	S  5	stimulus
63.111	n/a	S  1	response
64.459	n/a	S  5	stimulus
64.831	n/a	S  1	response
66.009	n/a	S  5	stimulus
66.319	n/a	S  1	response
68.042	n/a	S  5	stimulus
68.487	n/a	S  1	response
69.775	n/a	S  5	stimulus
70.055	n/a	S  1	response
70.808	n/a	S  5	stimulus
71.247	n/a	S  1	response
72.542	n/a	S  5	stimulus
73.007	n/a	S  1	response
74.475	n/a	S  5	stimulus
74.799	n/a	S  1	response
76.308	n/a	S  5	stimulus
76.591	n/a	S  1	response
78.042	n/a	S  5	stimulus
78.311	n/a	S  1	response
79.575	n/a	S  5	stimulus
79.903	n/a	S  1	response
81.108	n/a	S  5	stimulus
81.423	n/a	S  1	response
82.823	n/a	S  1	response
82.842	n/a	S  5	stimulus
84.475	n/a	S  5	stimulus
