onset	duration	event_type	trial_type
19.67	n/a	S  5	stimulus
21.503	n/a	S  7	stimulus
22.936	n/a	S  5	stimulus
24.569	n/a	S  5	stimulus
26.203	n/a	S  5	stimulus
27.686	n/a	S  5	stimulus
29.169	n/a	S  5	stimulus
30.603	n/a	S  5	stimulus
32.236	n/a	S  5	stimulus
33.669	n/a	S  5	stimulus
35.402	n/a	S  5	stimulus
37.186	n/a	S  5	stimulus
38.619	n/a	S  5	stimulus
40.202	n/a	S  6	stimulus
40.688	n/a	S  1	response
41.986	n/a	S  5	stimulus
43.619	n/a	S  5	stimulus
45.452	n/a	S  5	stimulus
47.235	n/a	S  6	stimulus
47.96	n/a	S  1	response
49.069	n/a	S  5	stimulus
50.752	n/a	S  7	stimulus
52.435	n/a	S  5	stimulus
54.169	n/a	S  5	stimulus
55.852	n/a	S  6	stimulus
56.432	n/a	S  1	response
57.635	n/a	S  5	stimulus
59.318	n/a	S  7	stimulus
61.052	n/a	S  5	stimulus
62.735	n/a	S  5	stimulus
64.418	n/a	S  6	stimulus
64.976	n/a	S  1	response
65.851	n/a	S  5	stimulus
67.585	n/a	S  5	stimulus
69.068	n/a	S  6	stimulus
69.56	n/a	S  1	response
70.501	n/a	S  5	stimulus
72.085	n/a	S  7	stimulus
73.618	n/a	S  5	stimulus
75.101	n/a	S  5	stimulus
76.534	n/a	S  5	stimulus
78.018	n/a	S  5	stimulus
79.551	n/a	S  5	stimulus
81.234	n/a	S  5	stimulus
82.818	n/a	S  6	stimulus
83.343	n/a	S  1	response
84.251	n/a	S  5	stimulus
85.784	n/a	S  5	stimulus
87.417	n/a	S  5	stimulus
89.001	n/a	S  7	stimulus
90.734	n/a	S  5	stimulus
92.567	n/a	S  7	stimulus
94.401	n/a	S  5	stimulus
95.934	n/a	S  5	stimulus
97.767	n/a	S  5	stimulus
99.6	n/a	S  6	stimulus
100.111	n/a	S  1	response
101.084	n/a	S  5	stimulus
102.717	n/a	S  5	stimulus
