onset	duration	event_type	trial_type
5.562	n/a	S  5	stimulus
7.495	n/a	S  5	stimulus
7.735	n/a	S  1	response
9.428	n/a	S  5	stimulus
9.686	n/a	S  1	response
11.162	n/a	S  5	stimulus
11.526	n/a	S  1	response
12.795	n/a	S  5	stimulus
13.11	n/a	S  1	response
13.822	n/a	S  1	response
14.446	n/a	S  1	response
14.628	n/a	S  5	stimulus
16.461	n/a	S  5	stimulus
16.526	n/a	S  1	response
18.195	n/a	S  5	stimulus
18.422	n/a	S  1	response
20.028	n/a	S  5	stimulus
20.318	n/a	S  1	response
21.761	n/a	S  5	stimulus
22.006	n/a	S  1	response
23.395	n/a	S  5	stimulus
23.718	n/a	S  1	response
24.928	n/a	S  5	stimulus
25.326	n/a	S  1	response
26.761	n/a	S  5	stimulus
27.046	n/a	S  1	response
28.382	n/a	S  1	response
28.594	n/a	S  5	stimulus
30.328	n/a	S  5	stimulus
30.542	n/a	S  1	response
32.061	n/a	S  5	stimulus
32.278	n/a	S  1	response
34.07	n/a	S  1	response
34.094	n/a	S  5	stimulus
35.827	n/a	S  5	stimulus
35.894	n/a	S  1	response
37.361	n/a	S  5	stimulus
37.566	n/a	S  1	response
38.87	n/a	S  1	response
38.894	n/a	S  5	stimulus
40.342	n/a	S  1	response
40.627	n/a	S  5	stimulus
42.26	n/a	S  5	stimulus
42.294	n/a	S  1	response
43.798	n/a	S  1	response
44.294	n/a	S 10	n/a
64.309	n/a	S  5	stimulus
64.773	n/a	S  1	response
66.221	n/a	S  1	response
66.343	n/a	S  5	stimulus
68.176	n/a	S  5	stimulus
68.365	n/a	S  1	response
69.809	n/a	S  5	stimulus
69.885	n/a	S  1	response
71.477	n/a	S  1	response
71.542	n/a	S  5	stimulus
73.276	n/a	S  5	stimulus
74.309	n/a	S  5	stimulus
74.845	n/a	S  1	response
76.042	n/a	S  5	stimulus
76.285	n/a	S  1	response
77.776	n/a	S  5	stimulus
77.957	n/a	S  1	response
79.609	n/a	S  5	stimulus
79.845	n/a	S  1	response
81.142	n/a	S  5	stimulus
81.149	n/a	S  1	response
82.675	n/a	S  5	stimulus
82.741	n/a	S  1	response
84.149	n/a	S  1	response
84.409	n/a	S  5	stimulus
86.342	n/a	S  5	stimulus
86.469	n/a	S  1	response
88.375	n/a	S  5	stimulus
88.589	n/a	S  1	response
90.408	n/a	S  5	stimulus
90.525	n/a	S  1	response
92.142	n/a	S  5	stimulus
92.253	n/a	S  1	response
94.075	n/a	S  5	stimulus
94.093	n/a	S  1	response
95.808	n/a	S  5	stimulus
96.061	n/a	S  1	response
97.341	n/a	S  5	stimulus
97.621	n/a	S  1	response
99.021	n/a	S  1	response
99.075	n/a	S  5	stimulus
100.708	n/a	S  5	stimulus
100.797	n/a	S  1	response
102.341	n/a	S  5	stimulus
102.469	n/a	S  1	response
104.132	n/a	S  1	response
104.174	n/a	S  5	stimulus
105.908	n/a	S  5	stimulus
106.132	n/a	S  1	response
107.641	n/a	S 10	n/a
107.708	n/a	S  1	response
127.657	n/a	S  5	stimulus
128.156	n/a	S  1	response
129.49	n/a	S  5	stimulus
129.716	n/a	S  1	response
131.228	n/a	S  1	response
131.323	n/a	S  5	stimulus
132.836	n/a	S  1	response
132.956	n/a	S  5	stimulus
134.596	n/a	S  1	response
134.69	n/a	S  5	stimulus
135.723	n/a	S  5	stimulus
136.052	n/a	S  1	response
137.456	n/a	S  5	stimulus
137.66	n/a	S  1	response
139.212	n/a	S  1	response
139.39	n/a	S  5	stimulus
140.828	n/a	S  1	response
141.123	n/a	S  5	stimulus
142.856	n/a	S  5	stimulus
142.892	n/a	S  1	response
144.389	n/a	S  5	stimulus
