onset	duration	event_type	trial_type
6.713	n/a	S  7	stimulus
7.818	n/a	S  1	response
8.646	n/a	S  7	stimulus
9.042	n/a	S  2	response
10.779	n/a	S  7	stimulus
11.002	n/a	S  3	response
12.813	n/a	S 11	n/a
14.746	n/a	S  8	stimulus
15.218	n/a	S  1	response
16.779	n/a	S  8	stimulus
17.298	n/a	S  1	response
19.029	n/a	S  8	stimulus
19.522	n/a	S  2	response
21.062	n/a	S  8	stimulus
21.666	n/a	S  2	response
22.996	n/a	S 11	n/a
24.929	n/a	S  5	stimulus
25.45	n/a	S  1	response
26.662	n/a	S  5	stimulus
27.306	n/a	S  1	response
28.595	n/a	S  5	stimulus
29.258	n/a	S  2	response
30.429	n/a	S  5	stimulus
31.178	n/a	S  2	response
32.562	n/a	S 11	n/a
34.612	n/a	S  6	stimulus
35.361	n/a	S  3	response
36.545	n/a	S  6	stimulus
37.249	n/a	S  3	response
38.578	n/a	S  6	stimulus
39.249	n/a	S  3	response
40.611	n/a	S 11	n/a
42.645	n/a	S  7	stimulus
43.009	n/a	S  1	response
44.578	n/a	S  7	stimulus
44.969	n/a	S  2	response
46.428	n/a	S  7	stimulus
46.761	n/a	S  3	response
48.361	n/a	S  7	stimulus
48.825	n/a	S  1	response
50.094	n/a	S 11	n/a
52.128	n/a	S  8	stimulus
52.625	n/a	S  3	response
54.261	n/a	S  8	stimulus
54.833	n/a	S  3	response
56.194	n/a	S  8	stimulus
56.793	n/a	S  1	response
58.227	n/a	S  8	stimulus
58.721	n/a	S  1	response
60.461	n/a	S 11	n/a
62.494	n/a	S  6	stimulus
63.105	n/a	S  3	response
64.327	n/a	S  6	stimulus
64.889	n/a	S  1	response
66.36	n/a	S  6	stimulus
67.057	n/a	S  1	response
68.494	n/a	S 11	n/a
70.527	n/a	S  5	stimulus
71.249	n/a	S  3	response
72.46	n/a	S  5	stimulus
73.185	n/a	S  3	response
74.493	n/a	S  5	stimulus
75.249	n/a	S  1	response
76.543	n/a	S 11	n/a
78.576	n/a	S  7	stimulus
79.193	n/a	S  2	response
80.81	n/a	S  7	stimulus
81.257	n/a	S  3	response
82.76	n/a	S  7	stimulus
83.312	n/a	S  1	response
84.693	n/a	S  7	stimulus
85.2	n/a	S  2	response
86.926	n/a	S 11	n/a
88.759	n/a	S 10	n/a
98.776	n/a	S  7	stimulus
99.352	n/a	S  3	response
100.809	n/a	S  7	stimulus
101.2	n/a	S  1	response
102.842	n/a	S  7	stimulus
103.088	n/a	S  2	response
104.775	n/a	S 11	n/a
106.809	n/a	S  8	stimulus
107.136	n/a	S  3	response
107.816	n/a	S  2	response
108.842	n/a	S  8	stimulus
109.344	n/a	S  2	response
110.875	n/a	S  8	stimulus
111.312	n/a	S  2	response
113.125	n/a	S 11	n/a
114.858	n/a	S  6	stimulus
115.52	n/a	S  1	response
117.091	n/a	S  6	stimulus
117.728	n/a	S  1	response
119.125	n/a	S  6	stimulus
119.912	n/a	S  2	response
121.158	n/a	S 11	n/a
123.091	n/a	S 11	n/a
124.041	n/a	S  5	stimulus
124.536	n/a	S  1	response
125.774	n/a	S  5	stimulus
126.392	n/a	S  2	response
127.608	n/a	S  5	stimulus
128.224	n/a	S  2	response
129.541	n/a	S  5	stimulus
130.32	n/a	S  3	response
131.474	n/a	S 11	n/a
133.708	n/a	S  7	stimulus
134.255	n/a	S  3	response
135.641	n/a	S  7	stimulus
136.135	n/a	S  1	response
137.374	n/a	S  7	stimulus
137.919	n/a	S  2	response
139.407	n/a	S  7	stimulus
139.783	n/a	S  3	response
141.357	n/a	S 11	n/a
143.39	n/a	S 11	n/a
144.324	n/a	S  6	stimulus
145.007	n/a	S  2	response
146.057	n/a	S  6	stimulus
146.991	n/a	S  2	response
147.89	n/a	S  6	stimulus
148.583	n/a	S  2	response
149.923	n/a	S  6	stimulus
150.591	n/a	S  3	response
151.857	n/a	S 11	n/a
153.907	n/a	S  8	stimulus
154.607	n/a	S  3	response
155.94	n/a	S  8	stimulus
156.559	n/a	S  1	response
157.873	n/a	S  8	stimulus
158.423	n/a	S  1	response
159.606	n/a	S  8	stimulus
160.287	n/a	S  2	response
161.74	n/a	S 11	n/a
163.473	n/a	S  6	stimulus
164.199	n/a	S  3	response
165.323	n/a	S  6	stimulus
166.087	n/a	S  3	response
167.256	n/a	S  6	stimulus
167.951	n/a	S  3	response
169.289	n/a	S 11	n/a
171.339	n/a	S  5	stimulus
172.183	n/a	S  3	response
173.289	n/a	S  5	stimulus
174.175	n/a	S  1	response
175.222	n/a	S  5	stimulus
175.815	n/a	S  1	response
177.372	n/a	S 11	n/a
179.205	n/a	S  7	stimulus
179.87	n/a	S  1	response
181.239	n/a	S  7	stimulus
181.83	n/a	S  2	response
183.472	n/a	S  7	stimulus
184.118	n/a	S  3	response
185.605	n/a	S  7	stimulus
186.102	n/a	S  1	response
187.855	n/a	S 11	n/a
189.888	n/a	S 10	n/a
199.905	n/a	S  8	stimulus
