onset	duration	event_type	trial_type
15.884	n/a	S  7	stimulus
16.514	n/a	S  1	response
17.634	n/a	S  7	stimulus
18.114	n/a	S  2	response
19.567	n/a	S  7	stimulus
20.098	n/a	S  3	response
21.601	n/a	S 11	n/a
23.634	n/a	S  8	stimulus
24.417	n/a	S  1	response
25.784	n/a	S  8	stimulus
26.497	n/a	S  1	response
27.717	n/a	S  8	stimulus
28.297	n/a	S  2	response
29.667	n/a	S  8	stimulus
30.249	n/a	S  2	response
31.5	n/a	S 11	n/a
33.633	n/a	S  6	stimulus
34.257	n/a	S  3	response
35.567	n/a	S  6	stimulus
36.321	n/a	S  3	response
37.6	n/a	S  6	stimulus
38.241	n/a	S  3	response
39.533	n/a	S  6	stimulus
40.265	n/a	S  3	response
41.483	n/a	S 11	n/a
43.416	n/a	S 11	n/a
44.366	n/a	S  5	stimulus
44.841	n/a	S  1	response
46.2	n/a	S  5	stimulus
46.721	n/a	S  1	response
48.149	n/a	S  5	stimulus
48.721	n/a	S  2	response
49.883	n/a	S 11	n/a
51.816	n/a	S  7	stimulus
52.313	n/a	S  1	response
54.049	n/a	S  7	stimulus
54.521	n/a	S  2	response
55.782	n/a	S  7	stimulus
56.321	n/a	S  3	response
57.616	n/a	S  7	stimulus
58.137	n/a	S  1	response
59.649	n/a	S 11	n/a
61.682	n/a	S  8	stimulus
62.257	n/a	S  3	response
63.615	n/a	S  8	stimulus
64.233	n/a	S  3	response
65.549	n/a	S  8	stimulus
66.145	n/a	S  1	response
67.382	n/a	S 11	n/a
69.215	n/a	S  7	stimulus
69.777	n/a	S  2	response
71.148	n/a	S  7	stimulus
71.633	n/a	S  3	response
73.182	n/a	S  7	stimulus
73.688	n/a	S  1	response
75.315	n/a	S  7	stimulus
75.776	n/a	S  2	response
77.048	n/a	S 11	n/a
79.081	n/a	S  5	stimulus
79.904	n/a	S  2	response
80.915	n/a	S  5	stimulus
81.72	n/a	S  1	response
83.048	n/a	S  5	stimulus
83.872	n/a	S  3	response
84.781	n/a	S  5	stimulus
85.632	n/a	S  1	response
86.831	n/a	S 11	n/a
88.964	n/a	S  6	stimulus
90.998	n/a	S  6	stimulus
91.784	n/a	S  1	response
92.931	n/a	S  6	stimulus
93.616	n/a	S  1	response
94.864	n/a	S  6	stimulus
95.848	n/a	S  1	response
96.897	n/a	S 11	n/a
98.847	n/a	S 10	n/a
108.864	n/a	S  5	stimulus
109.624	n/a	S  1	response
110.997	n/a	S  5	stimulus
111.696	n/a	S  2	response
112.73	n/a	S  5	stimulus
113.544	n/a	S  2	response
114.663	n/a	S  5	stimulus
115.728	n/a	S  3	response
116.597	n/a	S 11	n/a
118.43	n/a	S  6	stimulus
119.392	n/a	S  1	response
120.563	n/a	S  6	stimulus
121.695	n/a	S  2	response
122.696	n/a	S  6	stimulus
123.207	n/a	S  2	response
124.729	n/a	S  6	stimulus
125.407	n/a	S  2	response
126.863	n/a	S 11	n/a
128.713	n/a	S  7	stimulus
129.343	n/a	S  3	response
130.646	n/a	S  7	stimulus
131.135	n/a	S  1	response
132.779	n/a	S  7	stimulus
133.311	n/a	S  2	response
135.029	n/a	S 11	n/a
136.962	n/a	S  8	stimulus
137.607	n/a	S  1	response
138.896	n/a	S  8	stimulus
139.447	n/a	S  2	response
140.629	n/a	S  8	stimulus
141.175	n/a	S  2	response
142.562	n/a	S  8	stimulus
143.055	n/a	S  3	response
144.495	n/a	S 11	n/a
146.229	n/a	S  7	stimulus
146.655	n/a	S  3	response
148.278	n/a	S  7	stimulus
148.759	n/a	S  1	response
150.228	n/a	S  7	stimulus
150.703	n/a	S  2	response
152.262	n/a	S 11	n/a
154.495	n/a	S 11	n/a
155.445	n/a	S  5	stimulus
156.183	n/a	S  3	response
157.278	n/a	S  5	stimulus
158.079	n/a	S  1	response
159.311	n/a	S  5	stimulus
160.047	n/a	S  1	response
