onset	duration	event_type	trial_type
14.849	n/a	S  5	stimulus
15.72	n/a	S  1	response
16.783	n/a	S  5	stimulus
17.456	n/a	S  1	response
18.533	n/a	S  5	stimulus
19.256	n/a	S  2	response
20.583	n/a	S 11	n/a
22.816	n/a	S  6	stimulus
23.464	n/a	S  3	response
25.049	n/a	S  6	stimulus
25.728	n/a	S  3	response
26.882	n/a	S  6	stimulus
27.664	n/a	S  3	response
28.916	n/a	S  6	stimulus
29.552	n/a	S  3	response
31.049	n/a	S 11	n/a
33.099	n/a	S  8	stimulus
33.648	n/a	S  1	response
34.832	n/a	S  8	stimulus
35.32	n/a	S  1	response
36.865	n/a	S  8	stimulus
37.424	n/a	S  2	response
38.899	n/a	S  8	stimulus
39.44	n/a	S  2	response
40.832	n/a	S 11	n/a
43.065	n/a	S 11	n/a
43.999	n/a	S  7	stimulus
44.488	n/a	S  1	response
45.932	n/a	S  7	stimulus
46.392	n/a	S  2	response
47.765	n/a	S  7	stimulus
48.2	n/a	S  3	response
49.698	n/a	S  7	stimulus
50.128	n/a	S  1	response
51.832	n/a	S 11	n/a
53.565	n/a	S  8	stimulus
54.112	n/a	S  3	response
55.798	n/a	S  8	stimulus
56.68	n/a	S  3	response
57.531	n/a	S  8	stimulus
58.096	n/a	S  1	response
59.765	n/a	S  8	stimulus
60.352	n/a	S  1	response
61.498	n/a	S 11	n/a
63.431	n/a	S 11	n/a
64.381	n/a	S  5	stimulus
66.614	n/a	S  5	stimulus
67.328	n/a	S  3	response
68.648	n/a	S  5	stimulus
69.384	n/a	S  3	response
70.581	n/a	S  5	stimulus
71.176	n/a	S  1	response
72.631	n/a	S 11	n/a
74.564	n/a	S  7	stimulus
75.08	n/a	S  2	response
76.597	n/a	S  7	stimulus
77.032	n/a	S  3	response
78.631	n/a	S  7	stimulus
79.008	n/a	S  1	response
80.664	n/a	S  7	stimulus
81.12	n/a	S  2	response
82.897	n/a	S 11	n/a
84.631	n/a	S  6	stimulus
85.416	n/a	S  1	response
86.464	n/a	S  6	stimulus
87.192	n/a	S  1	response
88.197	n/a	S  6	stimulus
88.816	n/a	S  1	response
90.43	n/a	S  6	stimulus
91.008	n/a	S  1	response
92.664	n/a	S 11	n/a
94.614	n/a	S  7	stimulus
95.184	n/a	S  3	response
96.863	n/a	S  7	stimulus
97.328	n/a	S  1	response
98.997	n/a	S  7	stimulus
99.455	n/a	S  2	response
100.83	n/a	S 11	n/a
103.063	n/a	S 10	n/a
113.08	n/a	S  8	stimulus
113.735	n/a	S  2	response
115.13	n/a	S  8	stimulus
115.671	n/a	S  2	response
117.363	n/a	S  8	stimulus
117.927	n/a	S  3	response
119.596	n/a	S 11	n/a
121.629	n/a	S 11	n/a
122.563	n/a	S  5	stimulus
123.199	n/a	S  1	response
124.396	n/a	S  5	stimulus
125.167	n/a	S  2	response
126.329	n/a	S  5	stimulus
126.935	n/a	S  2	response
128.162	n/a	S 11	n/a
130.196	n/a	S  7	stimulus
130.815	n/a	S  3	response
132.329	n/a	S  7	stimulus
132.743	n/a	S  1	response
134.579	n/a	S  7	stimulus
135.015	n/a	S  2	response
136.812	n/a	S  7	stimulus
137.223	n/a	S  3	response
138.545	n/a	S 11	n/a
140.579	n/a	S 11	n/a
141.512	n/a	S  5	stimulus
142.247	n/a	S  3	response
143.762	n/a	S  5	stimulus
144.271	n/a	S  3	response
145.995	n/a	S  5	stimulus
146.551	n/a	S  1	response
148.245	n/a	S  5	stimulus
148.887	n/a	S  1	response
150.495	n/a	S 11	n/a
152.628	n/a	S  7	stimulus
153.047	n/a	S  1	response
154.662	n/a	S  7	stimulus
155.143	n/a	S  2	response
